序号,门次,门名,卷次,位次,轮相,首字,首字表义,次字,次字表义,判定,去处,去处门次,升降,贈掷,白话说明,说明来源,承注层级,谱曰原文（本位按语）,引文,引文出处,引文所出之位
66,第1门,發始因地門,卷1,見取,那阿,那,见烦恼,阿,施善,不行·安住本位,,,安住,,这一掷善恶各一：善与恶互相对治、两边都无力胜出，故这一掷不行。,承注库,通則,此是發始因地。隨擲所現。必皆起手。故那阿表見取。,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
67,第1门,發始因地門,卷1,見取,那彌,那,见烦恼,彌,戒善,不行·安住本位,,,安住,,这一掷善恶各一：善与恶互相对治、两边都无力胜出，故这一掷不行。,承注库,通則,那彌表戒取。,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
68,第1门,發始因地門,卷1,見取,那陀,那,见烦恼,陀,定善,不行·安住本位,,,安住,,这一掷善恶各一：善与恶互相对治、两边都无力胜出，故这一掷不行。,承注库,通則,那陀表邪定。,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
69,第1门,發始因地門,卷1,見取,那佛,那,见烦恼,佛,无漏善慧,行,大梵天,第5门,升,,「那佛」仗佛慈力，为初禅天王（大梵），而我见我慢仍存。,承注库,直說,那佛仗佛慈力。為初禪王。而我見我慢仍存。,那佛仗佛慈力。為初禪王。而我見我慢仍存。,《選佛譜》卷第一・見取・L57,見取
70,第1门,發始因地門,卷1,見取,謨謨,謨,爱烦恼,謨,爱烦恼,行,少財鬼,第3门,降,,「謨謨」属下品恶，故堕少财鬼；也因有微善，不至堕无财鬼。,承注库,直說,謨謨下惡。故墮少財。亦以微善。不墮無財。,謨謨下惡。故墮少財。亦以微善。不墮無財。,《選佛譜》卷第一・見取・L57,見取
71,第1门,發始因地門,卷1,見取,謨阿,謨,爱烦恼,阿,施善,不行·安住本位,,,安住,,这一掷善恶各一：善与恶互相对治、两边都无力胜出，故这一掷不行。,承注库,通則,謨阿表慢心行施。,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
72,第1门,發始因地門,卷1,見取,謨彌,謨,爱烦恼,彌,戒善,不行·安住本位,,,安住,,这一掷善恶各一：善与恶互相对治、两边都无力胜出，故这一掷不行。,承注库,通則,謨彌表下品十善。,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
73,第1门,發始因地門,卷1,見取,謨陀,謨,爱烦恼,陀,定善,不行·安住本位,,,安住,,这一掷善恶各一：善与恶互相对治、两边都无力胜出，故这一掷不行。,承注库,通則,謨陀表味禪。,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
74,第1门,發始因地門,卷1,見取,謨佛,謨,爱烦恼,佛,无漏善慧,行,空無邊處天,第5门,升,,「謨佛」也仗佛力，得脱色身系缚（生空无边处天），而空处爱著仍在。,承注库,直說,謨佛亦仗佛力。得脫身縛。而空處愛著仍在。,謨佛亦仗佛力。得脫身縛。而空處愛著仍在。,《選佛譜》卷第一・見取・L57,見取
75,第1门,發始因地門,卷1,見取,阿阿,阿,施善,阿,施善,行,畜脩羅,第3门,降,,「阿阿」多修施福，但知见卑劣，故为畜修罗。,承注库,直說,阿阿多施福。以見卑劣。故為畜脩。,阿阿多施福。以見卑劣。故為畜脩。,《選佛譜》卷第一・見取・L57,見取
76,第1门,發始因地門,卷1,見取,阿彌,阿,施善,彌,戒善,行,鬼脩羅,第3门,降,,「阿彌」兼有施、戒二善，但见地卑劣，故为鬼修罗。,承注库,直說,阿彌兼施戒。亦因見劣。故為鬼脩。,阿彌兼施戒。亦因見劣。故為鬼脩。,《選佛譜》卷第一・見取・L57,見取
77,第1门,發始因地門,卷1,見取,阿陀,阿,施善,陀,定善,行,十種仙,第4门,升,,「彌彌」具足上品善，「阿陀」舍欲入禅，但因见执，故同为十种仙。,承注库,直說,阿陀捨欲入禪。但以見執。故為十仙。,彌彌具足上善。阿陀捨欲入禪。但以見執。故為十仙。,《選佛譜》卷第一・見取・L57,見取
78,第1门,發始因地門,卷1,見取,阿佛,阿,施善,佛,无漏善慧,行,發聲聞心,第9门,升,,「阿佛」已舍世间执著，但取著习气还在，转而执取偏真涅槃——是为发声闻心。,承注库,直說,阿佛已捨世間取著。由取習故。復取偏真。是為發聲聞心。,阿佛已捨世間取著。由取習故。復取偏真。是為發聲聞心。,《選佛譜》卷第一・見取・L57,見取
79,第1门,發始因地門,卷1,見取,彌彌,彌,戒善,彌,戒善,行,十種仙,第4门,升,,「彌彌」二字俱表戒善，具足上品善，但因见执，故同为十种仙。,话头改写层,直說,彌彌具足上善。阿陀捨欲入禪。但以見執。故為十仙。,彌彌具足上善。阿陀捨欲入禪。但以見執。故為十仙。,《選佛譜》卷第一・見取・L57,見取
80,第1门,發始因地門,卷1,見取,彌陀,彌,戒善,陀,定善,行,魔羅天,第4门,升,,「彌陀」戒定俱佳，因夹杂见取，只落魔罗天。,承注库,直說,彌陀戒定俱美。見取入故。僅入魔天。,彌陀戒定俱美。見取入故。僅入魔天。,《選佛譜》卷第一・見取・L57,見取
81,第1门,發始因地門,卷1,見取,彌佛,彌,戒善,佛,无漏善慧,行,發辟支佛心,第9门,升,,「彌佛」已持出世戒品，由取著习气乐于独善求寂——是为发辟支佛心。,承注库,直說,彌佛已持出世戒品。由取習故。樂獨善寂。是發辟支佛心。,彌佛已持出世戒品。由取習故。樂獨善寂。是發辟支佛心。,《選佛譜》卷第一・見取・L57,見取
82,第1门,發始因地門,卷1,見取,陀陀,陀,定善,陀,定善,行,無想天,第5门,升,,「陀陀」深入四禅，由见取之力，招无想天报。,承注库,直說,陀陀深入四禪。見取力故。遂招無想天報。,陀陀深入四禪。見取力故。遂招無想天報。,《選佛譜》卷第一・見取・L57,見取
83,第1门,發始因地門,卷1,見取,陀佛,陀,定善,佛,无漏善慧,行,體空觀,第9门,升,,「陀佛」定慧平等，能入大乘初门，修体空观。,承注库,直說,陀佛定慧平等。能入大乘初門。修體空觀。,陀佛定慧平等。能入大乘初門。修體空觀。,《選佛譜》卷第一・見取・L57,見取
84,第1门,發始因地門,卷1,見取,佛佛,佛,无漏善慧,佛,无漏善慧,行,圓頓妙觀,第9门,升,,「佛佛」不动诸见而修道品，故成圆顿观门。,承注库,直說,佛佛不動諸見而修道品。故成圓頓觀門。,佛佛不動諸見而修道品。故成圓頓觀門。,《選佛譜》卷第一・見取・L57,見取
85,第1门,發始因地門,卷1,慢心行施,那那,那,见烦恼,那,见烦恼,行,上品畜生,第3门,降,,「那那」還能作上品畜生、「那謨」還能作畜修羅、「謨謨」還能作有財鬼，都因有布施之福。,承注库,直說,那那猶為上畜。,那那猶為上畜。那謨猶為畜脩。謨謨猶為有財鬼者。由施福故。,《選佛譜》卷第一・慢心行施・L61,慢心行施
86,第1门,發始因地門,卷1,慢心行施,那謨,那,见烦恼,謨,爱烦恼,行,畜脩羅,第3门,降,,「那那」還能作上品畜生、「那謨」還能作畜修羅、「謨謨」還能作有財鬼，都因有布施之福。,承注库,直說,那謨猶為畜脩。,那那猶為上畜。那謨猶為畜脩。謨謨猶為有財鬼者。由施福故。,《選佛譜》卷第一・慢心行施・L61,慢心行施
87,第1门,發始因地門,卷1,慢心行施,那阿,那,见烦恼,阿,施善,不行·安住本位,,,安住,,「那」表见烦恼、「阿」表施善。以有漏之施善对治见烦恼，二俱无力——善不足以断惑而升，惑也不足以致堕，所以不行。,通例·不行之由,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
88,第1门,發始因地門,卷1,慢心行施,那彌,那,见烦恼,彌,戒善,不行·安住本位,,,安住,,「那」表见烦恼、「彌」表戒善。以有漏之戒善对治见烦恼，二俱无力——善不足以断惑而升，惑也不足以致堕，所以不行。,通例·不行之由,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
89,第1门,發始因地門,卷1,慢心行施,那陀,那,见烦恼,陀,定善,不行·安住本位,,,安住,,「那」表见烦恼、「陀」表定善。以有漏之定善对治见烦恼，二俱无力——善不足以断惑而升，惑也不足以致堕，所以不行。,通例·不行之由,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
90,第1门,發始因地門,卷1,慢心行施,那佛,那,见烦恼,佛,无漏善慧,行,鐵輪王,第4门,升,,「那佛」为铁轮王：承佛神力，能统御世间。,承注库,直說,那佛鐵輪王者。承佛神力。能御世故。,那佛鐵輪王者。承佛神力。能御世故。,《選佛譜》卷第一・慢心行施・L61,慢心行施
91,第1门,發始因地門,卷1,慢心行施,謨謨,謨,爱烦恼,謨,爱烦恼,行,有財鬼,第3门,降,,「那那」還能作上品畜生、「那謨」還能作畜修羅、「謨謨」還能作有財鬼，都因有布施之福。,承注库,直說,謨謨猶為有財鬼者。由施福故。,那那猶為上畜。那謨猶為畜脩。謨謨猶為有財鬼者。由施福故。,《選佛譜》卷第一・慢心行施・L61,慢心行施
92,第1门,發始因地門,卷1,慢心行施,謨阿,謨,爱烦恼,阿,施善,不行·安住本位,,,安住,,「謨」表爱烦恼、「阿」表施善。以有漏之施善对治爱烦恼，二俱无力——善不足以断惑而升，惑也不足以致堕，所以不行。,通例·不行之由,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
93,第1门,發始因地門,卷1,慢心行施,謨彌,謨,爱烦恼,彌,戒善,不行·安住本位,,,安住,,「謨」表爱烦恼、「彌」表戒善。以有漏之戒善对治爱烦恼，二俱无力——善不足以断惑而升，惑也不足以致堕，所以不行。,通例·不行之由,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
94,第1门,發始因地門,卷1,慢心行施,謨陀,謨,爱烦恼,陀,定善,不行·安住本位,,,安住,,「謨」表爱烦恼、「陀」表定善。以有漏之定善对治爱烦恼，二俱无力——善不足以断惑而升，惑也不足以致堕，所以不行。,通例·不行之由,通則,,其餘位中。以阿彌陀善。與那謨惡相為對治。二俱無力。所以並不行也。,《選佛譜》卷第一・見取・L57,見取
95,第1门,發始因地門,卷1,慢心行施,謨佛,謨,爱烦恼,佛,无漏善慧,行,四王天,第4门,升,,「謨佛」生四王天：承佛神力，能护四天下。,承注库,直說,謨佛四王天者。承佛神力。能護四天下故。,謨佛四王天者。承佛神力。能護四天下故。,《選佛譜》卷第一・慢心行施・L61,慢心行施
96,第1门,發始因地門,卷1,慢心行施,阿阿,阿,施善,阿,施善,行,鬼脩羅,第3门,降,,「阿阿」成鬼修羅、「阿彌」成人修羅、「彌彌」「阿陀」都成天修羅——正是以此因得此果。,承注库,直說,阿阿鬼脩。,阿阿鬼脩。阿彌人脩。彌彌阿陀皆天脩者。正以此因得此果故。,《選佛譜》卷第一・慢心行施・L61,慢心行施
97,第1门,發始因地門,卷1,慢心行施,阿彌,阿,施善,彌,戒善,行,人脩羅,第3门,降,,「阿阿」成鬼修羅、「阿彌」成人修羅、「彌彌」「阿陀」都成天修羅——正是以此因得此果。,承注库,直說,阿彌人脩。,阿阿鬼脩。阿彌人脩。彌彌阿陀皆天脩者。正以此因得此果故。,《選佛譜》卷第一・慢心行施・L61,慢心行施
98,第1门,發始因地門,卷1,慢心行施,阿陀,阿,施善,陀,定善,行,天脩羅,第3门,降,,「阿」表施善、「陀」表定善。慢心行施正是修罗之因，得天修罗之果。,手工逐组（门1–14 手写）,直說,彌彌阿陀皆天脩者。正以此因得此果故。,阿阿鬼脩。阿彌人脩。彌彌阿陀皆天脩者。正以此因得此果故。,《選佛譜》卷第一・慢心行施・L61,慢心行施
99,第1门,發始因地門,卷1,慢心行施,阿佛,阿,施善,佛,无漏善慧,行,出世福業,第1门,升,,「阿」表施善、「佛」表无漏善慧。施福之力资助出世之法，故转入出世福业。,手工逐组（门1–14 手写）,直說,阿佛等為出世福等者。由施福力。資助出世法故。,阿佛等為出世福等者。由施福力。資助出世法故。,《選佛譜》卷第一・慢心行施・L61,慢心行施
100,第1门,發始因地門,卷1,慢心行施,彌彌,彌,戒善,彌,戒善,行,天脩羅,第3门,降,,「彌彌」二字俱表戒善。慢心行施正是修罗之因，得天修罗之果。,手工逐组（门1–14 手写）,直說,彌彌阿陀皆天脩者。正以此因得此果故。,阿阿鬼脩。阿彌人脩。彌彌阿陀皆天脩者。正以此因得此果故。,《選佛譜》卷第一・慢心行施・L61,慢心行施
101,第1门,發始因地門,卷1,慢心行施,彌陀,彌,戒善,陀,定善,行,北俱盧洲,第4门,升,,「彌陀」生北洲，因施兼戒定，能伏我所计著。,承注库,直說,彌陀北洲者。施兼戒定。能伏我所計著故。,彌陀北洲者。施兼戒定。能伏我所計著故。,《選佛譜》卷第一・慢心行施・L61,慢心行施
102,第1门,發始因地門,卷1,慢心行施,彌佛,彌,戒善,佛,无漏善慧,行,出世戒學,第1门,升,,「彌」表戒善、「佛」表无漏善慧。施福之力资助出世之法，故转入出世戒学。,手工逐组（门1–14 手写）,直說,阿佛等為出世福等者。由施福力。資助出世法故。,阿佛等為出世福等者。由施福力。資助出世法故。,《選佛譜》卷第一・慢心行施・L61,慢心行施
